City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.1926,-175.1773,24.16,94,20,2.06,TO,1681050233
1,palabuhanratu,-6.9882,106.5504,25.47,97,99,1.65,ID,1681050220
2,albany,42.6512,-73.755,8.84,38,20,1.54,US,1681050195
3,angelholm,56.2429,12.8619,14.19,38,0,3.6,SE,1681050312
4,chuy,-33.6938,-53.4561,23.19,55,0,2.35,BR,1681050226
5,sabha,-18.1416,178.4422,23.71,100,20,0.0,FJ,1681050313
6,fenoarivo,-21.7185,46.3814,26.52,60,19,3.82,MG,1681050313
7,kahului,20.8894,-156.4727,22.66,88,75,5.14,US,1681050314
8,dingle,11.0001,122.6718,24.57,85,100,2.77,PH,1681050185
9,riviere-au-renard,48.9926,-64.3858,-1.01,62,99,7.32,CA,1681050315
10,mataura,-46.1927,168.8643,11.38,97,99,1.62,NZ,1681050190
11,nemuro,43.3301,145.5829,1.9,74,29,7.49,JP,1681050316
12,new norfolk,-42.7802,147.0615,8.97,73,100,1.34,AU,1681050189
13,enterprise,31.3152,-85.8552,9.94,89,100,5.66,US,1681050317
14,korla,41.7239,86.1735,17.25,16,5,4.72,CN,1681050317
15,burica,8.0637,-82.9127,27.31,67,14,1.47,PA,1681050318
16,rikitea,-23.123,-134.968,24.56,63,0,4.73,PF,1681050193
17,tambilil,5.975,124.6762,26.01,87,100,1.37,PH,1681050319
18,fortuna,40.5974,-124.156,8.38,83,21,2.68,US,1681050319
19,hoi an,10.4339,105.5499,27.98,67,92,5.51,VN,1681050320
20,port alfred,-33.5982,26.8915,17.81,85,99,3.58,ZA,1681050231
21,port blair,11.6645,92.739,28.68,79,40,1.03,IN,1681050320
22,hegang,47.3289,130.2817,7.56,34,5,2.22,CN,1681050321
23,chapais,49.783,-74.8573,0.86,87,100,5.03,CA,1681050321
24,tiksi,71.6366,128.8685,-14.61,96,100,2.76,RU,1681050200
25,hermanus,-34.4175,19.2361,18.8,55,1,6.54,ZA,1681050180
26,repatriacion,-25.5366,-55.9931,26.1,53,0,1.75,PY,1681050322
27,ponta do sol,32.6811,-17.1041,23.0,58,1,1.79,PT,1681050323
28,sinnamary,5.3771,-52.9572,27.93,66,94,2.71,GF,1681050323
29,niceville,30.5188,-86.4845,12.14,86,100,5.14,US,1681049992
30,whitewater,37.9647,-97.1475,15.1,36,0,5.14,US,1681050324
31,araguacu,-12.9289,-49.8231,28.74,70,97,1.39,BR,1681050325
32,kalmunai,7.4132,81.8269,27.77,74,53,2.78,LK,1681050325
33,chapleau,47.8456,-83.4019,3.03,41,0,4.12,CA,1681050326
34,umm kaddadah,13.6002,26.6893,39.31,5,100,4.86,SD,1681050326
35,cape town,-33.929,18.4174,21.05,57,40,4.12,ZA,1681050201
36,chokurdakh,70.6194,147.9024,-23.75,91,78,4.18,RU,1681050216
37,ormskirk,53.5674,-2.886,15.01,64,100,7.07,GB,1681050327
38,khatanga,71.9819,102.4715,-20.43,97,100,3.35,RU,1681050224
39,myitkyina,25.3833,97.4,25.58,30,0,1.06,MM,1681050328
40,ushuaia,-54.8061,-68.3185,1.83,80,75,6.69,AR,1681050181
41,georgetown,6.8137,-58.1624,31.16,59,46,3.45,GY,1681050217
42,ahuimanu,21.4406,-157.8321,22.83,89,100,7.72,US,1681050329
43,nizhneyansk,71.4404,136.1306,-12.94,91,100,6.82,RU,1681050330
44,skibbereen,52.251,-7.1508,11.8,80,75,7.72,IE,1681050330
45,saint anthony,45.0283,-93.2187,13.56,41,0,8.75,US,1681050331
46,esperance,-33.8582,121.8932,17.39,82,55,5.86,AU,1681050175
47,puerto quijarro,-19.0044,-57.7157,26.98,78,75,2.06,BR,1681050332
48,ilan,46.2521,129.7391,10.6,27,6,2.64,CN,1681050333
49,atuona,-9.8037,-139.0426,27.05,71,2,5.46,PF,1681050333
50,faanui,-16.4824,-151.7338,27.25,73,100,5.97,PF,1681050227
51,mareeba,-17.1295,143.9242,24.95,80,100,2.65,AU,1681050335
52,vardo,70.3308,30.9618,1.38,80,40,5.14,NO,1681050335
53,bacabal,-4.2318,-44.7812,24.44,93,100,1.04,BR,1681050335
54,bluff,-46.5988,168.3434,11.63,86,100,3.32,NZ,1681050197
55,tuktoyaktuk,69.444,-133.0319,-17.0,78,75,8.75,CA,1681050193
56,vaitupu,-7.4769,178.6808,28.65,77,100,7.22,TV,1681050336
57,bonthe,7.5273,-12.502,31.36,53,99,5.73,SL,1681050337
58,ancud,-41.8675,-73.8278,12.4,76,100,2.38,CL,1681049960
59,sumbawa,-8.5949,117.2716,18.09,97,100,1.76,ID,1681050338
60,dickinson,46.8792,-102.7896,4.34,70,0,4.63,US,1681050303
61,busselton,-33.6445,115.3489,14.56,85,62,2.03,AU,1681050210
62,mugumu,-1.8336,34.6607,21.38,66,100,0.64,TZ,1681050339
63,norman wells,65.2824,-126.8327,-7.98,93,20,2.06,CA,1681050339
64,saint-philippe,45.3584,-73.479,6.79,49,0,2.06,CA,1681050339
65,olinda,-7.9986,-34.846,28.01,74,75,2.57,BR,1681050216
66,malibu,34.0356,-118.6894,15.1,94,2,1.05,US,1681050340
67,baragua,10.5832,-69.9484,27.03,60,53,3.34,VE,1681050341
68,amderma,69.7522,61.6623,-13.7,93,100,6.66,RU,1681050220
69,yellowknife,62.4541,-114.3774,-2.9,93,75,2.57,CA,1681050105
70,tsihombe,-25.3185,45.4841,26.67,73,0,6.14,MG,1681050341
71,katsina,12.9894,7.6006,40.94,7,99,5.14,NG,1681050342
72,airai,-8.9266,125.4092,15.96,95,100,1.26,TL,1681050211
73,punta arenas,-53.1626,-70.9078,4.16,70,20,10.8,CL,1681050144
74,ransang,0.4709,102.0932,23.94,91,99,0.38,ID,1681050343
75,port elizabeth,-33.9617,25.6208,17.31,77,20,11.83,ZA,1681050215
76,bredasdorp,-34.5331,20.0428,19.6,39,29,6.76,ZA,1681050190
77,omsukchan,62.5128,155.7824,-22.49,99,24,1.49,RU,1681050344
78,apatity,67.5686,33.4044,1.74,87,78,2.09,RU,1681050345
79,soure,40.0595,-8.6264,26.75,36,41,4.81,PT,1681050345
80,jamestown,-15.9277,-5.7161,22.76,80,13,9.01,SH,1681050188
81,puerto ayora,-0.7472,-90.3134,29.55,80,3,0.45,EC,1681050229
82,half moon bay,52.3472,-114.1766,0.7,72,10,2.54,CA,1681050224
83,cabo san lucas,22.8939,-109.9201,21.84,61,81,2.14,MX,1681050195
84,port macquarie,-31.4299,152.9104,14.35,59,0,4.1,AU,1681050213
85,marawi,8.0047,124.2854,20.05,96,100,0.82,PH,1681050234
86,avarua,-21.2075,-159.7708,24.99,88,100,2.06,CK,1681050348
87,sao filipe,14.8953,-24.4969,22.22,70,52,5.25,CV,1681050348
88,torbay,47.6577,-52.727,-0.15,52,40,8.23,CA,1681050229
89,farafangana,-22.8216,47.8307,25.81,78,26,3.03,MG,1681050349
90,moa,39.9479,-1.3662,23.6,14,21,7.63,ES,1681050349
91,venado tuerto,-33.7456,-61.9686,22.21,53,0,5.62,AR,1681050350
92,namatanai,-3.6642,152.4407,25.98,86,100,2.61,PG,1681050350
93,karaton,-6.3424,106.1045,24.01,91,98,2.1,ID,1681050350
94,severo-kurilsk,50.6683,156.1154,1.66,99,100,4.3,RU,1681050212
95,butaritari,2.9205,172.9189,27.38,80,56,3.98,KI,1681050228
96,bathsheba,13.2129,-59.5227,29.22,61,20,8.75,BB,1681050351
97,castro,45.803,10.0671,16.31,67,93,1.79,IT,1681050184
98,ouallam,14.3158,2.0848,39.9,7,100,6.77,NE,1681050352
99,flin flon,54.7698,-101.879,0.73,80,20,2.57,CA,1681050207
100,sao joao da barra,-21.6349,-41.0487,24.06,84,100,6.81,BR,1681050353
101,taos,36.4072,-105.5733,9.0,47,0,2.57,US,1681050353
102,marathon,38.1533,23.9621,18.49,57,100,4.37,GR,1681050354
103,gigmoto,13.7787,124.3912,25.64,85,98,5.73,PH,1681050354
104,pangnirtung,66.148,-65.7173,-20.33,77,2,1.26,CA,1681050354
105,vicuna,-30.0319,-70.7081,11.85,39,4,2.14,CL,1681050254
106,kapaa,22.0747,-159.3192,22.18,89,100,7.72,US,1681050355
107,touros,-5.1999,-35.4595,28.15,77,96,8.57,BR,1681050223
108,te anau,-45.4145,167.7175,9.48,87,100,0.69,NZ,1681050356
109,mehamn,71.039,27.8518,2.97,87,75,5.14,NO,1681050185
110,tocopilla,-22.092,-70.1979,23.15,66,19,3.1,CL,1681049770
111,pevek,69.7028,170.2747,-28.31,100,100,2.57,RU,1681050357
112,kaeo,-35.1017,173.7751,17.47,96,33,4.59,NZ,1681050357
113,paita,-5.0852,-81.1137,27.78,71,95,4.89,PE,1681050358
114,hobart,-42.8825,147.3281,9.0,78,100,8.75,AU,1681050100
115,kodiak,57.79,-152.4072,-7.27,53,100,9.26,US,1681050187
116,bethel,60.7922,-161.7558,-22.81,84,20,2.06,US,1681050230
117,orange cove,36.6244,-119.3137,13.67,95,0,2.06,US,1681050359
118,falealupo,-13.4992,-172.7862,29.2,75,77,8.19,WS,1681050360
